G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing,,,
1,NOR,1,15,28,53.6,133,1.5,0,0.0,2,7.1,36.8,0,0,0.0,0,F,F,,,
2,DET,6,22,27,81.5,255,12.4,4,14.8,0,0.0,145.6,4,6,1.5,0,A,F,,,
3,SFO,2,23,33,69.7,261,9.1,2,6.1,0,0.0,113.3,0,0,0.0,0,A,F,,,
4,PIT,4,20,36,55.6,248,8.0,2,5.6,0,0.0,95.6,3,2,0.7,1,B,D,,,
5,CIN,2,27,39,69.2,344,8.7,2,5.1,1,2.6,102.9,0,0,0.0,0,A,F,,,
6,CHI,5,17,23,73.9,195,10.2,2,8.7,0,0.0,128.0,7,19,2.7,1,A,C,,,
7,WAS,5,27,35,77.1,274,9.5,3,8.6,0,0.0,127.6,2,17,8.5,0,A,F,,,
8,ARI,2,22,37,59.5,184,6.0,2,5.4,0,0.0,90.4,2,3,1.5,0,C,F,,,
10,SEA,4,23,37,62.2,292,6.7,0,0.0,1,2.7,75.5,2,8,4.0,0,F,F,,,
11,MIN,6,23,33,69.7,385,14.1,4,12.1,0,0.0,148.4,2,21,10.5,0,A,D,,,
12,LAR,1,28,45,62.2,307,7.7,2,4.4,0,0.0,97.2,2,0,0.0,1,A,D,,,
13,CHI,5,29,37,78.4,341,11.4,4,10.8,0,0.0,141.1,1,0,0.0,0,A,F,,,
14,BAL,4,23,31,74.2,268,10.6,3,9.7,0,0.0,132.2,4,11,2.8,0,A,F,,,
15,CLE,4,24,34,70.6,202,7.7,3,8.8,0,0.0,115.1,1,-1,-1.0,0,B,F,,,
16,MIN,6,29,38,76.3,288,8.6,2,5.3,0,0.0,114.8,2,8,4.0,0,A,F,,,
15 Games,Total/Avg,3.8,352,513,68.9,3977,8.8,35,7.0,4,0.8,111.0,32,94,2.3,3,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
