G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
1,TEN,3,25,38,65.8,285,4.5,1,2.6,3,7.9,64.0,0,0,0.0,0,D,F
2,NYJ,4,19,35,54.3,325,8.6,1,2.9,1,2.9,83.6,0,0,0.0,0,D,F
3,LAR,3,18,36,50.0,195,4.7,1,2.8,1,2.8,64.0,1,-1,-1.0,0,F,F
4,BAL,1,20,30,66.7,342,10.6,1,3.3,1,3.3,102.4,3,1,0.3,0,A,F
5,SFO,1,8,22,36.4,100,0.4,0,0.0,2,9.1,13.4,0,0,0.0,0,F,F
6,SEA,4,22,37,59.5,249,3.6,1,2.7,3,8.1,54.9,4,35,8.8,1,F,B
7,NWE,1,20,31,64.5,194,5.4,1,3.2,1,3.2,79.2,1,18,18.0,0,C,D
8,DEN,2,27,42,64.3,273,7.0,1,2.4,0,0.0,90.7,3,22,7.3,0,B,D
9,BUF,1,26,38,68.4,238,7.3,2,5.3,0,0.0,102.7,2,1,0.5,0,A,F
10,PIT,1,17,32,53.1,193,7.3,2,6.2,0,0.0,92.3,1,1,1.0,1,B,D
11,MIA,6,24,34,70.6,327,10.1,3,8.8,1,2.9,118.1,2,5,2.5,0,A,F
12,PIT,1,18,32,56.2,196,5.3,1,3.1,1,3.1,71.9,1,2,2.0,0,D,F
13,CIN,5,11,24,45.8,192,4.2,0,0.0,2,8.3,38.9,2,13,6.5,1,F,D
14,ARI,6,30,43,69.8,247,5.6,2,4.7,1,2.3,90.0,2,11,5.5,0,D,F
15,BAL,1,20,33,60.6,192,5.7,2,6.1,1,3.0,84.4,2,4,2.0,0,C,F
16,CIN,5,12,27,44.4,279,7.6,3,11.1,3,11.1,79.6,4,29,7.2,0,D,C
16 games,Total/Avg,2.8,317,534,58.1,3827,6.1,22,4.1,21,4.2,76.9,28,141,3.8,3,,
