G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
4,OAK,6,21,41,51.2,295,6.0,2,4.9,2,4.9,70.7,4,10,2.5,0,D,F
5,BAL,1,25,43,58.1,342,7.4,1,2.3,1,2.3,81.7,2,23,11.5,0,C,D
6,LAC,1,22,46,47.8,238,3.6,1,2.2,2,4.3,52.6,2,8,4,0,D,F
7,TAM,6,23,34,67.7,215,7.5,2,5.9,0,0.0,104.4,4,43,10.8,0,C,B
8,PIT,4,22,36,61.1,180,4.9,2,5.6,1,2.8,80.8,1,9,9,0,F,F
9,KAN,6,29,42,69.0,297,7.0,2,4.8,1,2.4,95.0,0,0,0,0,C,F
10,ATL,5,17,20,85.0,216,13.8,3,15.0,0,0.0,151.2,6,20,3.3,0,A,D
11,CIN,6,19,26,73.1,258,13.0,4,15.4,0,0.0,143.9,4,-4,-1,0,A,F
12,HOU,2,29,43,67.4,397,6.6,1,2.3,3,7.0,75.4,0,0,0,0,D,F
13,CAR,4,18,22,81.8,238,11.7,1,4.5,0,0.0,126.9,4,2,0.5,0,B,F
14,DEN,3,18,31,58.1,188,5.9,2,6.5,1,3.2,83.8,4,6,1.5,0,D,F
15,CIN,6,27,37,73.0,284,9.3,3,8.1,0,0.0,121.9,6,16,2.7,0,A,D
16,BAL,1,23,42,54.8,376,7.2,3,7.1,3,7.1,79.1,0,0,0,0,C,F
13 games,Total/Avg,3.9,293,463,65.2,3524,8.0,27,6.5,14,2.6,97.5,37,133,3.4,0,,
