Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2019-09-08,1,1,24.147,CLE,,TEN,L 13-43,*,25,38,65.79,285,1,3,64.0,5,41,7.50,4.47,0,0,,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
2,2019-09-16,2,2,24.155,CLE,@,NYJ,W 23-3,*,19,35,54.29,325,1,1,83.6,3,20,9.29,8.57,0,0,,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
3,2019-09-22,3,3,24.161,CLE,,LAR,L 13-20,*,18,36,50.00,195,1,1,64.0,3,20,5.42,4.72,1,-1,-1.00,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%
4,2019-09-29,4,4,24.168,CLE,@,BAL,W 40-25,*,20,30,66.67,342,1,1,102.4,1,5,11.40,10.57,3,1,0.33,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
5,2019-10-07,5,5,24.176,CLE,@,SFO,L 3-31,*,8,22,36.36,100,0,2,13.4,4,42,4.55,0.45,0,0,,0,0,0,2,1,0,0,0,0,43,93%,0,0%,0,0%
6,2019-10-13,6,6,24.182,CLE,,SEA,L 28-32,*,22,37,59.46,249,1,3,54.9,0,0,6.73,3.62,4,35,8.75,1,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%
7,2019-10-27,7,8,24.196,CLE,@,NWE,L 13-27,*,20,31,64.52,194,1,1,79.2,5,43,6.26,5.45,1,18,18.00,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%
8,2019-11-03,8,9,24.203,CLE,@,DEN,L 19-24,*,27,42,64.29,273,1,0,90.7,2,12,6.50,6.98,3,22,7.33,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%
9,2019-11-10,9,10,24.210,CLE,,BUF,W 19-16,*,26,38,68.42,238,2,0,102.7,2,17,6.26,7.32,2,1,0.50,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%
10,2019-11-14,10,11,24.214,CLE,,PIT,W 21-7,*,17,32,53.13,193,2,0,92.3,1,4,6.03,7.28,1,1,1.00,1,1,6,0,0,0,0,0,0,69,99%,0,0%,0,0%
11,2019-11-24,11,12,24.224,CLE,,MIA,W 41-24,*,24,34,70.59,327,3,1,118.1,1,7,9.62,10.06,2,5,2.50,0,0,0,1,0,0,2,-20,0,74,99%,0,0%,0,0%
12,2019-12-01,12,13,24.231,CLE,@,PIT,L 13-20,*,18,32,56.25,196,1,1,71.9,5,23,6.13,5.34,1,2,2.00,0,0,0,1,1,0,0,0,0,64,97%,0,0%,0,0%
13,2019-12-08,13,14,24.238,CLE,,CIN,W 27-19,*,11,24,45.83,192,0,2,38.9,1,5,8.00,4.25,2,13,6.50,1,1,6,0,0,0,0,0,0,53,98%,0,0%,0,0%
14,2019-12-15,14,15,24.245,CLE,@,ARI,L 24-38,*,30,43,69.77,247,2,1,90.0,1,6,5.74,5.63,2,11,5.50,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%
15,2019-12-22,15,16,24.252,CLE,,BAL,L 15-31,*,20,33,60.61,192,2,1,84.4,0,0,5.82,5.67,2,4,2.00,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%
16,2019-12-29,16,17,24.259,CLE,@,CIN,L 23-33,*,12,27,44.44,279,3,3,79.6,6,40,10.33,7.56,4,29,7.25,0,0,0,1,0,0,1,0,0,54,100%,0,0%,0,0%
,16 Games,,,,,,,6-10-0,,317,534,59.36,3827,22,21,78.8,40,285,7.17,6.22,28,141,5.04,3,3,18,6,2,0,4,-20,0,,,,,,
