Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2021-09-12,1,1,25.114,BUF,,PIT,L 16-23,*,30,51,58.82,270,1,0,79.7,3,16,5.29,5.69,9,44,4.89,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,85,100%,0,0%,0,0%
2,2021-09-19,2,2,25.121,BUF,@,MIA,W 35-0,*,17,33,51.52,179,2,1,75.2,1,8,5.42,5.27,5,35,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,97%,0,0%,0,0%
3,2021-09-26,3,3,25.128,BUF,,WAS,W 43-21,*,32,43,74.42,358,4,0,129.8,0,0,8.33,10.19,4,9,2.25,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,90%,0,0%,0,0%
4,2021-10-03,4,4,25.135,BUF,,HOU,W 40-0,*,20,30,66.67,248,2,1,100.4,1,5,8.27,8.10,6,41,6.83,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,63,88%,0,0%,0,0%
5,2021-10-10,5,5,25.142,BUF,@,KAN,W 38-20,*,15,26,57.69,315,3,0,139.1,0,0,12.12,14.42,11,59,5.36,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
6,2021-10-18,6,6,25.150,BUF,@,TEN,L 31-34,*,35,47,74.47,353,3,1,107.8,3,18,7.51,7.83,9,26,2.89,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%
7,2021-10-31,7,8,25.163,BUF,,MIA,W 26-11,*,29,42,69.05,249,2,0,100.2,0,0,5.93,6.88,8,55,6.88,1,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%
8,2021-11-07,8,9,25.170,BUF,@,JAX,L 6-9,*,31,47,65.96,264,0,2,62.7,4,35,5.62,3.70,5,50,10.00,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%
9,2021-11-14,9,10,25.177,BUF,@,NYJ,W 45-17,*,21,28,75.00,366,2,1,125.6,2,16,13.07,12.89,2,3,1.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%
10,2021-11-21,10,11,25.184,BUF,,IND,L 15-41,*,21,35,60.00,209,2,2,72.2,1,8,5.97,4.54,2,18,9.00,0,1,0,2,0.0,0,0,0,0,0,1,0,0,0,0,0,50,89%,0,0%,0,0%
11,2021-11-25,11,12,25.188,BUF,@,NOR,W 31-6,*,23,28,82.14,260,4,2,115.2,2,12,9.29,8.93,8,43,5.38,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%
12,2021-12-06,12,13,25.199,BUF,,NWE,L 10-14,*,15,30,50.00,145,1,0,75.0,2,14,4.83,5.50,6,39,6.50,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,-2,0,58,100%,0,0%,0,0%
13,2021-12-12,13,14,25.205,BUF,@,TAM,L 27-33,*,36,54,66.67,308,2,1,86.0,3,15,5.70,5.61,12,109,9.08,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%
14,2021-12-19,14,15,25.212,BUF,,CAR,W 31-14,*,19,34,55.88,210,3,1,91.5,4,17,6.18,6.62,3,24,8.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%
15,2021-12-26,15,16,25.219,BUF,@,NWE,W 33-21,*,30,47,63.83,314,3,0,104.4,0,0,6.68,7.96,12,64,5.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%
16,2022-01-02,16,17,25.226,BUF,,ATL,W 29-15,*,11,26,42.31,120,0,3,17.0,0,0,4.62,-0.58,15,81,5.40,2,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%
17,2022-01-09,17,18,25.233,BUF,,NYJ,W 27-10,*,24,45,53.33,239,2,0,83.5,0,0,5.31,6.20,5,63,12.60,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,94%,0,0%,0,0%
,17 Games,,,,,,,11-6-0,,409,646,63.31,4407,36,15,92.2,26,164,6.82,6.89,122,763,6.25,6,2,6,40,0.0,1,0,1,0,0,8,3,0,2,-4,0,,,,,,
