Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2021-09-12,1,1,21.341,JAX,@,HOU,L 21-37,*,28,51,54.90,332,3,3,70.1,1,13,6.51,5.04,1,-2,-2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%
2,2021-09-19,2,2,21.348,JAX,,DEN,L 13-23,*,14,33,42.42,118,1,2,37.2,1,4,3.58,1.45,2,21,10.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%
3,2021-09-26,3,3,21.355,JAX,,ARI,L 19-31,*,22,34,64.71,219,1,2,68.1,3,17,6.44,4.38,6,27,4.50,0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,68,100%,0,0%,0,0%
4,2021-09-30,4,4,21.359,JAX,@,CIN,L 21-24,*,17,24,70.83,204,0,0,96.5,1,2,8.50,8.50,8,36,4.50,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%
5,2021-10-10,5,5,22.004,JAX,,TEN,L 19-37,*,23,33,69.70,273,1,1,92.1,2,17,8.27,7.52,7,28,4.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%
6,2021-10-17,6,6,22.011,JAX,,MIA,W 23-20,*,25,41,60.98,319,1,0,93.4,2,7,7.78,8.27,2,11,5.50,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%
7,2021-10-31,7,8,22.025,JAX,@,SEA,L 7-31,*,32,54,59.26,238,1,1,68.3,1,11,4.41,3.94,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%
8,2021-11-07,8,9,22.032,JAX,,BUF,W 9-6,*,15,26,57.69,118,0,0,69.1,2,12,4.54,4.54,3,4,1.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,90%,0,0%,0,0%
9,2021-11-14,9,10,22.039,JAX,@,IND,L 17-23,*,16,35,45.71,162,0,0,59.5,3,10,4.63,4.63,5,33,6.60,0,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,66,100%,0,0%,0,0%
10,2021-11-21,10,11,22.046,JAX,,SFO,L 10-30,*,16,25,64.00,158,0,0,81.7,3,12,6.32,6.32,3,23,7.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,100%,0,0%,0,0%
11,2021-11-28,11,12,22.053,JAX,,ATL,L 14-21,*,23,42,54.76,228,1,1,68.4,1,12,5.43,4.83,5,39,7.80,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%
12,2021-12-05,12,13,22.060,JAX,@,LAR,L 7-37,*,16,28,57.14,145,0,0,71.3,2,9,5.18,5.18,4,10,2.50,0,0,0,0.0,1,0,1,0,0,1,0,0,1,0,0,58,98%,0,0%,0,0%
13,2021-12-12,13,14,22.067,JAX,@,TEN,L 0-20,*,24,40,60.00,221,0,4,35.5,3,37,5.53,1.03,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%
14,2021-12-19,14,15,22.074,JAX,,HOU,L 16-30,*,22,38,57.89,210,0,0,73.4,3,21,5.53,5.53,5,21,4.20,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%
15,2021-12-26,15,16,22.081,JAX,@,NYJ,L 21-26,*,26,39,66.67,280,0,0,87.6,1,28,7.18,7.18,6,37,6.17,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%
16,2022-01-02,16,17,22.088,JAX,@,NWE,L 10-50,*,17,27,62.96,193,1,3,57.1,2,20,7.15,2.89,2,16,8.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%
17,2022-01-09,17,18,22.095,JAX,,IND,W 26-11,*,23,32,71.88,223,2,0,111.8,1,6,6.97,8.22,10,17,1.70,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
,17 Games,,,,,,,3-14-0,,359,602,59.63,3641,12,17,71.9,32,238,6.05,5.18,73,334,4.58,2,2,12,0.0,2,0,2,0,0,9,5,0,2,0,0,,,,,,
