,,Passing,Passing,Passing,Passing,Passing,,,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Arizona Cardinals,16,421,601,4785,38,7,,40,53,283,0,363.08,403.0,370.5,22.7,25.2,23.2
Atlanta Falcons,16,349,534,4107,28,12,1,28,67,278,5,319.58,350.6,333.1,20.0,21.9,20.8
Baltimore Ravens,16,317,541,3579,15,12,3,36,35,132,1,192.36,219.4,204.4,12.0,13.7,12.8
Buffalo Bills,16,348,553,3421,15,14,3,43,56,155,2,200.34,221.3,214.3,12.5,13.8,13.4
Carolina Panthers,16,346,541,3994,21,12,1,53,59,221,3,265.26,302.6,278.1,16.6,18.9,17.4
Chicago Bears,16,362,571,3796,17,10,1,32,39,167,1,219.64,243.5,230.5,13.7,15.2,14.4
Cincinnati Bengals,16,304,495,4074,25,11,2,31,93,489,5,323.96,343.9,334.9,20.2,21.5,20.9
Cleveland Browns,16,317,512,3714,25,14,,38,90,413,5,288.06,306.9,301.9,18.0,19.2,18.9
Dallas Cowboys,16,368,567,3846,20,7,1,39,70,296,3,257.44,279.4,264.4,16.1,17.5,16.5
Denver Broncos,16,348,537,3822,19,10,1,40,41,187,2,237.58,258.6,247.6,14.8,16.2,15.5
Detroit Lions,16,380,609,4733,33,7,1,28,55,202,0,325.72,358.5,332.5,20.4,22.4,20.8
Green Bay Packers,16,325,544,3997,18,17,,41,43,143,0,212.08,243.1,229.6,13.3,15.2,14.4
Houston Texans,16,374,583,4493,33,12,1,30,52,291,3,325.72,371.7,338.2,20.4,23.2,21.1
Indianapolis Colts,16,393,561,4219,29,15,1,41,51,168,2,292.06,328.8,307.8,18.3,20.6,19.2
Jacksonville Jaguars,16,327,516,4088,22,10,1,47,63,244,5,280.22,308.9,289.9,17.5,19.3,18.1
Kansas City Chiefs,16,351,581,3846,21,16,2,44,53,265,4,256.34,281.3,272.3,16.0,17.6,17.0
Los Angeles Chargers,16,326,462,3374,21,11,,29,59,221,1,221.36,241.1,232.1,13.8,15.1,14.5
Los Angeles Rams,16,348,562,3928,23,13,,50,60,216,2,247.92,277.9,262.4,15.5,17.4,16.4
Miami Dolphins,16,344,545,4353,39,13,2,23,41,128,3,341.02,369.9,353.9,21.3,23.1,22.1
Minnesota Vikings,16,393,598,4061,23,16,1,48,26,92,0,225.64,260.6,241.6,14.1,16.3,15.1
New England Patriots,16,301,532,3188,12,25,,47,58,224,4,174.52,205.5,200.0,10.9,12.8,12.5
New Orleans Saints,16,370,602,4166,26,13,1,51,40,215,4,286.14,314.1,299.1,17.9,19.6,18.7
New York Giants,16,368,555,4460,30,10,,36,70,226,6,331.40,362.0,341.0,20.7,22.6,21.3
New York Jets,16,363,585,4001,25,12,2,35,73,264,2,266.84,293.4,278.4,16.7,18.3,17.4
Oakland Raiders,16,337,526,4355,33,9,,32,60,250,3,324.00,351.2,332.2,20.3,22.0,20.8
Philadelphia Eagles,16,346,569,4120,25,11,1,43,43,214,1,260.20,295.2,271.2,16.3,18.5,17.0
Pittsburgh Steelers,16,313,512,3423,23,19,,54,71,225,2,205.52,243.4,224.4,12.8,15.2,14.0
San Francisco 49ers,16,317,518,3054,23,12,2,48,73,380,3,243.36,272.4,255.9,15.2,17.0,16.0
Seattle Seahawks,16,383,596,4407,19,16,3,28,58,347,3,263.48,303.5,280.0,16.5,19.0,17.5
Tampa Bay Buccaneers,16,406,662,4608,30,12,5,47,52,209,2,307.42,349.4,319.9,19.2,21.8,20.0
Tennessee Titans,16,386,597,4356,25,14,2,43,61,251,1,275.44,310.4,290.4,17.2,19.4,18.2
Washington Redskins,16,371,539,4093,35,13,,46,60,302,2,311.92,340.9,324.9,19.5,21.3,20.3
